province,region,defector_number,binary_defector,urban,primary_language,primary_ethnicity,percent_demsupport2008,percent_donottrust2008
Bale,Boucle de Mouhoun,1,1,0,Bobo,Bobo,62.5,6.25
Bam,Centre-Nord,1,1,0,Moore,Mossi,75,31.25
Banwa,Boucle de Mouhoun,0,0,0,Bobo,Bobo,67.5,22.5
Bazega,Centre-Sud,0,0,0,Moore,Mossi,68.75,18.75
Bougouriba,Sud-Ouest,4,1,0,Dagari,Dagari,,
Boulgou,Centre-Est,1,1,0,Bissa,Bissa,70,22.5
Boulkiemde,Centre-Ouest,4,1,1,Moore,Mossi,90,22.5
Comoe,Cascades,2,1,1,Karaboro,Karaboro,50,32.5
Ganzourgou,Plateau-Central,1,1,0,Moore,Mossi,42.5,10
Gnagna,Est,1,1,0,Moore,Mossi,43.65,15.63
Gourma,Est,1,1,0,Moore,Mossi,25,12.5
Houet,Hauts-Bassins,4,1,1,Moore,Mossi,52.5,51.25
Ioba,Sud-Ouest,3,1,0,Dagari,Dagari,50,25
Kadiogo,Centre,10,1,1,Moore,Mossi,50,57.14
Kenedougou,Hauts-Bassins,2,1,0,Senoufo,Senoufo,59.375,46.875
Komondjari,Est,0,0,0,Gulmacera,Gourmatche,,
Kompienga,Est,1,1,0,Gulmacera,Gourmatche,75,25
Kossi,Boucle de Mouhoun,0,0,0,Marka,Marka,81.25,31.25
Koulpelogo,Centre-Est,2,1,0,Yanan,Yanan,43.75,12.5
Kouritenga,Centre-Est,1,1,0,Moore,Mossi,45,20
Kourweogo,Plateau-Central,0,0,0,Moore,Mossi,,
Leraba,Cascades,1,1,0,Senoufo,Senoufo,,
Loroum,Nord,1,1,0,Moore,Mossi,62.5,50
Mouhoun,Boucle de Mouhoun,0,0,0,Marka,Marka,75,25
Nahouri,Centre-Sud,0,0,0,Gourounsi,Gourounsi,68.75,31.25
Namentenga,Centre-Nord,0,0,0,Moore,Mossi,52.5,20
Nayala,Boucle de Mouhoun,0,0,0,Samo,Samo,81.25,18.75
Noumbiel,Sud-Ouest,2,1,0,Lobi,Lobi,,
Oubritenga,Plateau-Central,0,0,0,Moore,Mossi,50,12.5
Oudalan,Sahel,0,0,0,Sonrai,Sonrai,75,25
Passore,Nord,1,1,0,Moore,Mossi,50,31.25
Poni,Sud-Ouest,3,1,0,Lobi,Lobi,31.25,43.75
Sanguie,Centre-Ouest,1,1,0,Gourounsi,Gourounsi,83.33,41.66667
Sanmatenga,Centre-Nord,5,1,0,Moore,Mossi,77.1,14.58333
Seno,Sahel,0,0,0,Fulfude,Peul,50,37.5
Sissili,Centre-Ouest,1,1,0,Moore,Mossi,50,37.5
Soum,Sahel,1,1,0,Moore,Mossi,37.5,40
Sourou,Boucle de Mouhoun,0,0,0,Moore,Mossi,68.75,37.5
Tapoa,Est,1,1,0,Gulmacera,Gourmatche,56.25,50
Tuy,Hauts-Bassins,1,1,0,Moore,Mossi,75,33.33333
Yagha,Sahel,1,1,0,Fulfude,Peul,62.5,50
Yatenga,Nord,7,1,1,Moore,Mossi,70,32.5
Ziro,Centre-Ouest,0,0,0,Moore,Mossi,87.5,25
Zondoma,Nord,1,1,0,Moore,Mossi,56.25,43.75
Zoundweogo,Centre-Sud,2,1,0,Bissa,Bissa,66.67,33.33333
